DANE12_EST,NOMBRE_EST,NIT,DANE12_SED,NOMBRE_SED,ORDEN_DE_S,ZONA,DIRECCION,BARRIO__GE,TELEFONO,EMAIL,WEB,ENFASIS_PA,DISCAPACID,TALENTOS_O,GRUPOS_ETN,REGIMEN_Y,CPF,COD_UPZ,NOMBRE_UPZ,SECTOR_CEN,CODIGO_POS,SECTOR,NATU_JUR,ESTADO,CALENDARIO,GENERO,COD_LOCA,CARACTER_P,ESPECIALID,ESTRATO,CLASE_TIPO,BILINGUE,FECHA
111001000132.00000000000,COLEGIO AQUILEO PARRA (IED),"8001053451",111001000132.00000000000,AQUILEO PARRA,A,URBANA,KR 18 A # 187 - 67/65,EL VERBENAL 1,6714615  --  3043997208,insdiaquileoparrav1@educacionbogota.edu.co,,,FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-SORDOCEGUERA-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"115","9",VERBENAL,"008527","110141","2","9","1","1","5","01","1","1","7","1","4",2023/09/30
111001029955.00000000000,COLEGIO AGUSTIN FERNANDEZ (IED),"830092890",111001029955.00000000000,AGUSTIN FERNANDEZ,A,URBANA,KR 7 # 155 - 20,BOSQUE DE PINOS III,6710239  --  6718876  --  6791049,coldiagustinfernan1@educacionbogota.edu.co,http://rectoriagustinfernandez.blogspot.com/,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"114","13",LOS CEDROS,"008520","110131","2","9","1","1","5","01","1","1","7","1","4",2023/09/30
111001029955.00000000000,COLEGIO AGUSTIN FERNANDEZ (IED),"830092890",111848000244.00000000000,SAN BERNARDO,B,URBANA,KR 1 A ESTE # 161 - 24  --  KR 1 A # 161 - 24,CERROS NORTE,6771239  --  6703224,coldiagustinfernan1@educacionbogota.edu.co,http://rectoriagustinfernandez.blogspot.com/,,INTELECTUAL-MULTIPLE,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS,,"128","11",SAN CRISTOBAL NORTE,"008520","110131","2","9","1","1","5","01","4","13","1","1","4",2023/09/30
111001029955.00000000000,COLEGIO AGUSTIN FERNANDEZ (IED),"830092890",111848003455.99998474121,SANTA CECILIA ALTA,C,URBANA,KR 1 ESTE # 163 - 60,SANTA CECILIA PUENTE NORTE,"6799948",coldiagustinfernan1@educacionbogota.edu.co,http://rectoriagustinfernandez.blogspot.com/,,INTELECTUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN CIENCIAS SOCIALES O HUMANAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS,,"129","11",SAN CRISTOBAL NORTE,"008535","110131","2","9","1","1","5","01","4","13","1","1","4",2023/09/30
111001029955.00000000000,COLEGIO AGUSTIN FERNANDEZ (IED),"830092890",111001800920.00001525879,LOS PISINGOS,D,URBANA,KR 7 # 158 - 41,BARRANCAS NORTE,"3002069223",coldiagustinfernan1@educacionbogota.edu.co,http://rectoriagustinfernandez.blogspot.com/,,AUDITIVA-INTELECTUAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS,,"0","11",SAN CRISTOBAL NORTE,"0","110131","2","9","2","1","5","01","4","13","0","1","4",2023/09/30
111001044806.00000000000,COLEGIO FRIEDRICH NAUMANN (IED),"830049093",111001044806.00000000000,FRIEDRICH NAUMANN,A,URBANA,AK 7 # 171 B - 26,LA GRANJA NORTE,"6682577",cedfriedrichnauma1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"123","10",LA URIBE,"008536","110141","2","9","1","1","5","01","1","1","2","1","4",2023/09/30
111001044806.00000000000,COLEGIO FRIEDRICH NAUMANN (IED),"830049093",111848000198.00000000000,EL CODITO,B,URBANA,CL 182 # 6 - 30,HORIZONTES NORTE,"6682577",cedfriedrichnauma1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied,,AUDITIVA-INTELECTUAL-MULTIPLE,TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO,AFRODESCENDIENTES-INDIGENAS,,"121","9",VERBENAL,"008534","110141","2","9","1","1","5","01","4","13","2","1","4",2023/09/30
111001046957.00001525879,COLEGIO TOBERIN (IED),"830007423",111001046957.00001525879,TOBERIN,A,URBANA,CL 166 # 16 C - 15,EL TOBERIN,6790327  --  3002069340,cedtoberin1@educacionbogota.edu.co,,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO-TALENTO EXCEPCIONAL EN TECNOLOGIA",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,,"122","12",TOBERIN,"008501","110131","2","9","1","1","5","01","1","1","3","1","4",2023/09/30
111001046957.00001525879,COLEGIO TOBERIN (IED),"830007423",111001086843.00000000000,BABILONIA,B,URBANA,KR 14 C # 164 - 75,LA PRADERA NORTE,6745420  --  3057924071,cedtoberin1@educacionbogota.edu.co,,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE-VISUAL,"CAPACIDADES EXCEPCIONALES-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN CIENCIAS NATURALES O BASICAS",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES-RAIZALES,,"102","12",TOBERIN,"008502","110131","2","9","1","1","5","01","4","13","3","1","4",2023/09/30
111001046957.00001525879,COLEGIO TOBERIN (IED),"830007423",111848000082.00000000000,LAS ORQUIDEAS,C,URBANA,KR 17 # 163 A - 22,LAS ORQUIDEAS,6708717  --  3057912432,cedtoberin1@educacionbogota.edu.co,,,INTELECTUAL,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS",AFRODESCENDIENTES-INDIGENAS,,"106","12",TOBERIN,"008516","110131","2","9","1","1","5","01","4","13","3","1","4",2023/09/30
