"COD_DANE12","COLEGIO_SE","X","Y","P_Puntaje_2021","EVALUADOS_2021","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Categoria","Thombre_aprob","Tmujer_aprob","Thombre","Tmujer","ESTRATO","DENSITY","P_Puntaje_2019","EVALUADOS_2019","P_Puntaje_2020","EVALUADOS_2020","P_Puntaje_2022","EVALUADOS_2022"
111001000078,"COLEGIO DE CULTURA POPULAR (IED)",-8251051.1688,513321.005,266.1538462,86,2,1,5,16,9,0,3,84.59,87.95,1.74,1.17,3,237.134316238,262.6923077,108,259.2307692,95,272.6923077,79
111001000132,"COLEGIO AQUILEO PARRA (IED)",-8242002.8501,531131.023800001,263.3760684,108,2,1,5,1,9,0,2,83.7,86.9,0.4,0.31,7,270.694567329,267.3875181,106,265.273363,121,271.8697639,101
111001000612,"COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS (IED)",-8245651.1928,520731.662,285.3846154,36,2,1,1,12,9,0,1,86.15,87.97,2.14,2.55,3,198.262433299,300,43,285.7692308,34,290,39
111001001121,"COLEGIO MARCO TULIO FERNANDEZ (IED)",-8249025.8732,520916.796,276.9230769,75,2,1,5,10,9,0,2,89.28,91.71,1.66,1.21,3,234.204297324,269.6153846,58,281.5384615,75,269.6153846,69
111001001279,"COLEGIO DARIO ECHANDIA (IED)",-8255684.2638,517292.438700002,256.2035809,116,2,1,5,8,9,0,2,85.22,88.65,0.77,0.71,2,548.796445738,259.4755245,120,267.2453222,111,266.1599512,126
111001001538,"COLEGIO NUEVA CONSTITUCION (IED)",-8251204.8187,525005.672699999,256.1538462,66,2,1,5,10,9,0,3,88.37,90.06,0.65,0.54,3,268.783871617,245.7692308,62,259.6153846,75,257.4054759,118
111001002330,"COLEGIO LA GAITANA (IED)",-8249732.772,528505.028299998,245.0760018,167,2,1,5,11,9,0,3,88.41,91.53,1.65,1.17,7,306.418065453,249.955711,166,245.7885999,139,252.4712644,174
111001002895,"INSTITUTO PEDAGOGICO ARTURO RAMIREZ MONTUFAR",-8246521.09,516502.923799999,322.3076923,45,1,1,5,13,14,1,1,0,0,0,0,7,8.53808462411,335.3846154,31,329.2307692,53,308.8461538,51
111001002909,"COLEGIO CARLOS ALBAN HOLGUIN (IED)",-8259566.3317,513197.786,242.753789,269,2,1,5,7,9,0,4,87.89,89.97,0.63,0.58,2,309.569740428,244.4548633,243,247.2705673,259,249.2307692,270
111001006122,"COLEGIO LA MERCED (IED)",-8248924.2363,515118.815499999,277.9320215,215,2,1,5,16,9,0,2,85.86,93.64,0,0.67,7,12.2408326165,277.3740053,232,276.7209909,236,279.1519926,166
111001008389,"COLEGIO TECNICO DOMINGO FAUSTINO SARMIENTO (IED)",-8245050.9191,522091.501200002,255.7692308,111,2,1,5,12,9,0,2,88.9,92.99,1.8,2.12,4,169.658573145,282.9401709,90,254.8752599,111,264.536608,83
111001009148,"COLEGIO HELADIA MEJIA (IED)",-8244960.8227,518552.7557,255.7692308,107,2,1,5,12,9,0,2,86.15,87.97,2.14,2.55,3,198.262433299,266.9230769,103,250.7692308,111,264.6153846,103
111001009521,"COLEGIO ROBERT F. KENNEDY (IED)",-8248920.3846,521444.486900002,255.3944145,157,2,1,5,10,9,0,2,85.69,90.75,1.54,0.83,3,211.322992578,270.4738016,136,263.5015385,125,261.7521368,135
111001009652,"COLEGIO CENTRO INTEGRAL JOSE MARIA CORDOBA (IED)",-8252260.5516,510232.270799998,252.8205128,228,2,1,5,6,9,0,3,86.13,88.07,1.35,1.34,3,219.024920058,256.4019314,233,265.0535783,201,261.6666667,183
111001009831,"COLEGIO POLICARPA SALAVARRIETA (IED)",-8245194.6248,514256.116599999,239.6153846,81,2,1,5,3,9,0,3,77.16,78.83,2.11,1.79,7,40.214988777,258.4615385,72,250.7692308,78,261.5384615,69
111001009971,"COLEGIO REPUBLICA DE COLOMBIA (IED)",-8247837.8582,521262.256499998,263.8461538,132,2,1,5,10,9,0,2,89.28,91.71,1.66,1.21,3,234.204297324,266.9230769,169,262.6923077,146,261.5384615,151
111001010031,"COLEGIO CEDID SAN PABLO (IED)",-8258507.1836,512578.829300001,250.475927,278,2,1,5,7,9,0,3,87.89,89.97,0.63,0.58,2,309.569740428,258.8930187,238,255.2733224,235,251.6215385,250
111001010251,"COLEGIO VENECIA (IED)",-8253625.2951,511730.8281,259.4387755,196,2,1,5,6,9,0,3,86.13,88.07,1.35,1.34,3,219.024920058,257.0183321,211,254.3696138,241,260.9022738,159
111001010731,"COLEGIO MANUELA BELTRAN (IED)",-8245036.4654,517585.342799999,262.3076923,91,2,1,5,13,9,0,2,97.02,96.37,0.32,0.34,3,144.564855749,261.9230769,110,256.1538462,99,262.6923077,91
111001010740,"COLEGIO INSTITUTO TECNICO INDUSTRIAL FRANCISCO JOSE DE CALDAS (IED)",-8248262.335,520315.397300001,278.4615385,262,2,1,5,10,9,0,2,89.28,91.71,1.66,1.21,7,234.204297324,278.8461538,279,274.6153846,294,279.2307692,283
111001010928,"COLEGIO RESTREPO MILLAN (IED)",-8251088.6512,510310.934,255.3846154,135,2,1,5,18,9,0,3,85.55,88.15,2.43,1.92,3,226.849943649,256.9230769,132,271.5384615,128,260.7692308,173
