X,Y,WEB,NOMBRE_EST,NOMBRE_SED,ORDEN_DE_S,EMAIL,SECTOR,NATU_JUR,CALENDARIO,GENERO,COD_LOCA,CLASE_TIPO,Fecha,EVALUADOS,P_Puntaje_,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Ciencias_N,Ciencias_1,Ciencias_2,Ciencias_3,Ingles_A,Ingles_A1,Ingles_A2,Ingles_B1,Ingles_B,Lectura_1,Lectura_2,Lectura_3,Lectura_4,Matematica,Matemati_1,Matemati_2,Matemati_3,SocialC_1,SocialC_2,SocialC_3,SocialC_4,PCiencias_,PCiencias1,PCiencia_1,PCiencia_2,PIngles_A,PIngles_A1,PIngles_A2,PIngles_B1,PIngles_B,PLectura_1,PLectura_2,PLectura_3,PLectura_4,PMatematic,PMatemat_1,PMatemat_2,PMatemat_3,PSocialC_1,PSocialC_2,PSocialC_3,PSocialC_4,Categoria,COLEGIO_SE,DANE12_SED
-8242002.8501,531131.023800001,,COLEGIO AQUILEO PARRA (IED),AQUILEO PARRA,A,insdiaquileoparrav1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,101,271.86976390000,56,55,52,54,56,8,49,43,2,22,38,30,13,1,2,29,52,21,4,27,68,4,16,46,39,2,7.76699029100,47.57281553000,42.71844660000,1.94174757300,21.35922330000,36.89320388000,29.12621359000,12.62135922000,0.97087378600,1.94174757300,28.15533981000,50.48543689000,20.38834951000,3.88349514600,26.21359223000,66.01941748000,3.88349514600,15.53398058000,44.66019417000,37.86407767000,1.94174757300,3,111001000132,111001000132
-8240325.3878,527100.816799998,http://rectoriagustinfernandez.blogspot.com/,COLEGIO AGUSTIN FERNANDEZ (IED),AGUSTIN FERNANDEZ,A,coldiagustinfernan1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,102,234.61538460000,50,48,44,46,46,35,58,12,0,63,29,13,2,0,6,51,45,4,7,54,45,0,50,41,15,0,33.01886792000,54.71698113000,12.26415094000,0.00000000000,59.43396226000,27.35849057000,12.26415094000,1.88679245300,0.00000000000,5.66037735800,48.11320755000,42.45283019000,3.77358490600,6.60377358500,50.94339623000,42.45283019000,0.00000000000,47.16981132000,38.67924528000,14.15094340000,0.00000000000,4,111001029955,111001029955
-8240226.3124,529285.699200001,https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied,COLEGIO FRIEDRICH NAUMANN (IED),FRIEDRICH NAUMANN,A,cedfriedrichnauma1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,53,255.00000000000,54,52,47,51,51,9,29,33,0,21,19,13,2,2,1,15,35,5,3,18,34,1,15,29,13,0,15.78947368000,50.87719298000,33.33333333000,0.00000000000,36.84210526000,33.33333333000,22.80701754000,3.50877193000,3.50877193000,1.75438596500,26.31578947000,61.40350877000,8.77192982500,5.26315789500,31.57894737000,59.64912281000,1.75438596500,26.31578947000,50.87719298000,22.80701754000,0.00000000000,3,111001044806,111001044806
-8242038.0749,528862.096700002,,COLEGIO TOBERIN (IED),TOBERIN,A,cedtoberin1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,163,261.15384620000,55,51,52,51,52,12,113,24,2,63,56,42,10,0,0,44,112,12,8,61,98,2,22,85,61,2,7.10059171600,66.86390533000,24.26035503000,1.18343195300,37.27810651000,33.13609467000,24.85207101000,5.91715976300,0.00000000000,0.00000000000,26.03550296000,66.27218935000,7.10059171600,4.73372781100,36.09467456000,57.98816568000,1.18343195300,13.01775148000,50.29585799000,36.09467456000,1.18343195300,3,111001046957,111001046957
-8240516.5957,531256.945,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,COLEGIO NUEVO HORIZONTE (IED),NUEVO HORIZONTE,A,cednvohorizonte1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,135,247.26780630000,52,49,48,48,51,21,96,16,0,50,60,21,7,1,1,57,71,8,8,64,65,1,29,79,29,0,15.10791367000,69.06474820000,15.82733813000,0.00000000000,35.97122302000,43.16546763000,15.10791367000,5.03597122300,0.71942446000,0.71942446000,41.00719424000,51.07913669000,5.75539568300,5.75539568300,46.04316547000,46.76258993000,0.71942446000,20.86330935000,56.83453237000,20.86330935000,0.00000000000,4,111001086681,111001086681
-8240320.04,530979.7914,,COLEGIO LA ESTRELLITA (IED),LA ESTRELLITA,A,rectorbosco3@fundaciondonbosco.org  --  bosco3@fundaciondonbosco.org,2,9,1,5,01,2,2022/12/31,66,247.30769230000,53,51,46,48,49,16,37,21,1,32,22,12,1,1,1,24,37,6,3,24,40,1,22,32,14,1,23.52941176000,54.41176471000,20.58823529000,1.47058823500,47.05882353000,32.35294118000,17.64705882000,1.47058823500,1.47058823500,1.47058823500,35.29411765000,54.41176471000,8.82352941200,4.41176470600,35.29411765000,58.82352941000,1.47058823500,32.35294118000,47.05882353000,20.58823529000,1.47058823500,3,111001098612,111001098612
-8242141.6354,530273.5869,,COLEGIO SALUDCOOP NORTE (IED),SALUDCOOP NORTE,A,colsaludcoopnorte@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,125,265.93230770000,56,53,51,52,54,4,91,29,0,35,47,35,13,3,3,38,72,21,4,48,78,4,21,66,44,3,2.98507462700,67.91044776000,29.10447761000,0.00000000000,26.11940299000,35.07462687000,26.11940299000,9.70149253700,2.23880597000,2.23880597000,28.35820896000,53.73134328000,15.67164179000,2.98507462700,35.82089552000,58.20895522000,2.98507462700,15.67164179000,49.25373134000,32.83582090000,2.23880597000,3,111001107743,111001107743
-8242465.918,521869.280400001,www.liceosejercito.edu.co,COLEGIO DE BACHILLERATO PATRIA,COLEGIO DE BACHILLERATO PATRIA,A,cbpsr100@liceosejercito.edu.co,1,14,1,5,01,6,2022/12/31,116,334.61538460000,67,69,64,65,75,0,12,66,28,1,2,24,60,32,0,2,42,73,0,4,70,46,1,13,84,20,0.00000000000,10.16949153000,66.10169492000,23.72881356000,0.84745762700,1.69491525400,20.33898305000,50.84745763000,27.11864407000,0.00000000000,1.69491525400,35.59322034000,61.86440678000,0.00000000000,3.38983050800,59.32203390000,38.98305085000,0.84745762700,11.01694915000,71.18644068000,16.94915254000,1,111848000911,111848000911
-8241514.3212,524255.604499999,www.pedagogica.edu.co  --  www.ipn.pedagogica.edu.co,INSTITUTO PEDAGOGICO NACIONAL,INSTITUTO PEDAGOGICO NACIONAL,A,ipn@pedagogica.edu.co,2,10,1,5,01,3,2022/12/31,111,309.61538460000,64,62,61,59,67,1,37,59,7,1,16,44,41,11,0,6,61,46,1,10,86,16,5,28,63,17,0.88495575200,32.74336283000,59.29203540000,6.19469026500,0.88495575200,14.15929204000,38.93805310000,36.28318584000,9.73451327400,0.00000000000,5.30973451300,53.98230088000,40.70796460000,0.88495575200,8.84955752200,76.10619469000,14.15929204000,4.42477876100,24.77876106000,55.75221239000,15.04424779000,1,111848002522,111848002522
-8241497.847,524594.517200001,,COLEGIO USAQUEN (IED),USAQUEN,A,colescoloniaescola1@educacionbogota.edu.co,2,9,1,5,01,1,2022/12/31,149,271.98244710000,58,54,53,52,56,17,79,35,6,41,44,46,22,5,2,30,100,25,6,52,93,6,14,79,64,2,10.82802548000,50.31847134000,35.03184713000,3.82165605100,26.11464968000,28.02547771000,29.29936306000,14.01273885000,3.18471337600,1.27388535000,19.10828025000,63.69426752000,15.92356688000,3.82165605100,33.12101911000,59.23566879000,3.82165605100,8.91719745200,50.31847134000,40.76433121000,1.27388535000,3,111848002662,111848002662
