"COD_DANE12","X","Y","ORDEN_DE_S","EMAIL","WEB","Fecha","COLEGIO_SE","P_Puntaje_2021","EVALUADOS","P_Lectura","P_Matemati","P_Sociales","P_Ciencias","P_Ingles","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Ciencias_N","Ciencias_1","Ciencias_2","Ciencias_3","Ingles_A","Ingles_A1","Ingles_A2","Ingles_B1","Ingles_B","Lectura_1","Lectura_2","Lectura_3","Lectura_4","Matematica","Matemati_1","Matemati_2","Matemati_3","SocialC_1","SocialC_2","SocialC_3","SocialC_4","PCiencias_","PCiencias1","PCiencia_1","PCiencia_2","PIngles_A1","PIngles_A2","PIngles_B1","PIngles_A","PIngles_B","PLectura_1","PLectura_2","PLectura_3","PLectura_4","PMatematic","PMatemat_1","PMatemat_2","PMatemat_3","PSocialC_1","PSocialC_2","PSocialC_3","PSocialC_4","Categoria","Thombre","Tmujer","ESTRATO","Thombre_aprob","Tmujer_aprob","Thombre_des","Tmujer_des","DENSITY","P_Puntaje_2019","P_Puntaje_2020","P_Puntaje_2022"
111001000078,-74.1204537498528,4.60627106665467,"A","innaldeculturapopu16@educacionbogota.edu.co","www.solegio.redp.edu.co/culturapopular","2021/12/31","COLEGIO DE CULTURA POPULAR (IED)",266.1538462,86,58,53,52,50,53,2,1,5,16,9,1,11,56,24,1,25,40,20,5,1,0,15,60,15,0,37,53,1,17,39,33,2,0.120879121,0.615384615,0.263736264,0.010989011,0.43956044,0.21978022,0.054945055,0.274725275,0.010989011,0,0.164835165,0.659340659,0.164835165,0,0.406593407,0.582417582,0.010989011,0.186813187,0.428571429,0.362637363,0.021978022,3,1.74,1.21,3,84.59,87.95,1.74,1.17,237.134316238,262.6923077,259.2307692,272.6923077
111001000132,-74.0391713200149,4.76572634935305,"A","insdiaquileoparrav1@educacionbogota.edu.co","","2021/12/31","COLEGIO AQUILEO PARRA (IED)",263.3760684,108,55,53,51,51,53,2,1,5,1,9,1,9,81,25,0,32,46,29,7,1,2,31,69,14,5,45,60,6,14,66,35,1,0.07826087,0.704347826,0.217391304,0,0.4,0.252173913,0.060869565,0.27826087,0.008695652,0.017391304,0.269565217,0.6,0.12173913,0.043478261,0.391304348,0.52173913,0.052173913,0.12173913,0.573913043,0.304347826,0.008695652,2,0.58,0.45,7,83.7,86.9,0.4,0.31,270.694567329,267.3875181,265.273363,271.8697639
111001000612,-74.071944940106,4.67262400237087,"A","innalfemlorencitav12@educacionbogota.edu.co","","2021/12/31","COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS (IED)",285.3846154,36,61,56,55,56,58,2,1,1,12,9,1,2,13,21,0,5,12,14,3,2,1,2,23,11,0,7,30,0,2,17,16,2,0.054054054,0.351351351,0.567567568,0,0.324324324,0.378378378,0.081081081,0.135135135,0.054054054,0.027027027,0.054054054,0.621621622,0.297297297,0,0.189189189,0.810810811,0,0.054054054,0.459459459,0.432432432,0.054054054,1,1.77,1.98,3,86.15,87.97,2.14,2.55,198.262433299,300,285.7692308,290
111001001121,-74.1022602099294,4.67428156003191,"A","colmarcotuliofernan@educacionbogota.edu.co","","2021/12/31","COLEGIO MARCO TULIO FERNANDEZ (IED)",276.9230769,75,58,56,53,54,57,2,1,5,10,9,1,3,37,32,5,15,28,25,10,0,1,12,49,15,0,21,53,3,8,34,32,3,0.038961039,0.480519481,0.415584416,0.064935065,0.363636364,0.324675325,0.12987013,0.194805195,0,0.012987013,0.155844156,0.636363636,0.194805195,0,0.272727273,0.688311688,0.038961039,0.103896104,0.441558442,0.415584416,0.038961039,2,1.38,1.03,3,89.28,91.71,1.66,1.21,234.204297324,269.6153846,281.5384615,269.6153846
111001001279,-74.1620735503656,4.64183094111641,"A","coldidarioechandia8@educacionbogota.edu.co","","2021/12/31","COLEGIO DARIO ECHANDIA (IED)",256.2035809,116,54,52,49,50,48,2,1,5,8,9,1,11,86,24,0,61,44,12,2,0,0,41,68,11,2,44,73,0,23,71,26,0,0.091666667,0.716666667,0.2,0,0.366666667,0.1,0.016666667,0.508333333,0,0,0.341666667,0.566666667,0.091666667,0.016666667,0.366666667,0.608333333,0,0.191666667,0.591666667,0.216666667,0,2,1.47,1.06,2,85.22,88.65,0.77,0.71,548.796445738,259.4755245,267.2453222,266.1599512
111001001538,-74.1218340103885,4.71088944075525,"A","cednvaconstitucio10@educacionbogota.edu.co","","2021/12/31","COLEGIO NUEVA CONSTITUCION (IED)",256.1538462,66,55,52,49,49,51,2,1,5,10,9,1,10,41,19,0,28,22,14,6,0,1,22,37,10,2,26,40,1,14,38,18,0,0.144927536,0.594202899,0.275362319,0,0.31884058,0.202898551,0.086956522,0.405797101,0,0.014492754,0.31884058,0.536231884,0.144927536,0.028985507,0.376811594,0.579710145,0.014492754,0.202898551,0.550724638,0.260869565,0,3,1.38,1.03,3,88.37,90.06,0.65,0.54,268.783871617,245.7692308,259.6153846,257.4054759
111001002330,-74.1086103898931,4.74221778489294,"A","cedlagaitana11@educacionbogota.edu.co","https://www.redacademica.edu.co/colegios/colegio-la-gaitana-ied","2021/12/31","COLEGIO LA GAITANA (IED)",245.0760018,167,52,48,47,48,50,2,1,5,11,9,1,27,116,25,0,72,62,22,12,2,2,69,84,13,10,96,62,2,45,91,32,2,0.160714286,0.69047619,0.148809524,0,0.369047619,0.130952381,0.071428571,0.428571429,0.011904762,0.011904762,0.410714286,0.5,0.077380952,0.05952381,0.571428571,0.369047619,0.011904762,0.267857143,0.541666667,0.19047619,0.011904762,3,1.92,1.39,7,88.41,91.53,1.65,1.17,306.418065453,249.955711,245.7885999,252.4712644
111001002895,-74.0797593596098,4.63476183513277,"A","iparm_bog@unal.edu.co -- ailemusa@unal.edu.co","www.unal.edu.co/iparm/","2021/12/31","INSTITUTO PEDAGOGICO ARTURO RAMIREZ MONTUFAR",322.3076923,45,66,65,63,62,70,1,1,5,13,14,6,0,6,37,4,0,5,13,22,8,0,1,21,25,0,2,34,10,2,5,30,9,0,0.127659574,0.787234043,0.085106383,0.106382979,0.276595745,0.468085106,0,0.170212766,0,0.021276596,0.446808511,0.531914894,0,0.042553191,0.723404255,0.212765957,0.042553191,0.106382979,0.638297872,0.191489362,1,0.52,0.47,7,0,0,0,0,8.53808462411,335.3846154,329.2307692,308.8461538
111001002909,-74.1969467596512,4.60516774585534,"A","cedcarlosalbanhol7@educacionbogota.edu.co; cedcarlosalbanhol7@gmail.com","","2021/12/31","COLEGIO CARLOS ALBAN HOLGUIN (IED)",242.753789,269,52,48,47,48,47,2,1,5,7,9,1,66,166,44,3,147,97,30,6,0,8,102,150,17,19,141,111,3,91,125,55,3,0.238267148,0.599277978,0.158844765,0.010830325,0.350180505,0.108303249,0.02166065,0.530685921,0,0.028880866,0.368231047,0.541516245,0.061371841,0.068592058,0.509025271,0.400722022,0.010830325,0.328519856,0.451263538,0.198555957,0.010830325,4,1.34,1.06,2,87.89,89.97,0.63,0.58,309.569740428,244.4548633,247.2705673,249.2307692
111001006122,-74.1013471901224,4.6223687277536,"A","cedlamerced16@educacionbogota.edu.co","www.colegiolamerced.edu.co--www.colegio.redp.edu.co/lamerced16","2021/12/31","COLEGIO LA MERCED (IED)",277.9320215,215,59,55,54,54,56,2,1,5,16,9,1,13,113,85,7,50,85,50,28,4,0,37,124,57,4,61,140,13,22,96,89,11,0.059633028,0.518348624,0.389908257,0.032110092,0.389908257,0.229357798,0.128440367,0.229357798,0.018348624,0,0.169724771,0.568807339,0.26146789,0.018348624,0.279816514,0.642201835,0.059633028,0.100917431,0.440366972,0.408256881,0.050458716,2,1.74,1.21,7,85.86,93.64,0,0.67,12.2408326165,277.3740053,276.7209909,279.1519926
111001008389,-74.0665525897124,4.68479894029797,"A","intdidomingofausti12@educacionbogota.edu.co","https://www.redacademica.edu.co/colegios/colegio-tecnico-domingo-faustino-sarmiento-ied","2021/12/31","COLEGIO TECNICO DOMINGO FAUSTINO SARMIENTO (IED)",255.7692308,111,54,51,50,49,52,2,1,5,12,9,1,13,75,25,0,43,35,26,9,0,2,36,58,16,7,43,62,1,21,56,35,0,0.116071429,0.669642857,0.223214286,0,0.3125,0.232142857,0.080357143,0.383928571,0,0.017857143,0.321428571,0.517857143,0.142857143,0.0625,0.383928571,0.553571429,0.008928571,0.1875,0.5,0.3125,0,2,1.77,1.98,4,88.9,92.99,1.8,2.12,169.658573145,282.9401709,254.8752599,264.536608
111001009148,-74.0657432399807,4.65311533682905,"A","coldiheladiamejia12@educacionbogota.edu.co","www.colegioheladiamejia.edu.co","2021/12/31","COLEGIO HELADIA MEJIA (IED)",255.7692308,107,54,52,48,50,53,2,1,5,12,9,1,18,60,28,1,35,36,23,12,3,4,30,63,11,8,43,54,3,25,54,26,3,0.166666667,0.555555556,0.259259259,0.009259259,0.333333333,0.212962963,0.111111111,0.324074074,0.027777778,0.037037037,0.277777778,0.583333333,0.101851852,0.074074074,0.398148148,0.5,0.027777778,0.231481481,0.5,0.240740741,0.027777778,2,1.77,1.98,3,86.15,87.97,2.14,2.55,198.262433299,266.9230769,250.7692308,264.6153846
