X,Y,P_Puntaje_2019,P_Puntaje_2020,P_Puntaje_2021,P_Puntaje_2022,EVALUADOS,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Sector,CALENDARIO,GENERO,COD_LOCA,upz,CLASE_TIPO,Categoria,DENSITY
-74.1204537498528,4.60627106665467,262.6923077,259.2307692,266.1538462,272.6923077,86,58,53,52,50,53,2,1,5,16,40,1,3,237.134316238
-74.0391713200149,4.76572634935305,267.3875181,265.273363,263.3760684,271.8697639,108,55,53,51,51,53,2,1,5,1,9,1,2,270.694567329
-74.071944940106,4.67262400237087,300,285.7692308,285.3846154,290,36,61,56,55,56,58,2,1,1,12,98,1,1,198.262433299
-74.1022602099294,4.67428156003191,269.6153846,281.5384615,276.9230769,269.6153846,75,58,56,53,54,57,2,1,5,10,26,1,2,234.204297324
-74.1620735503656,4.64183094111641,259.4755245,267.2453222,256.2035809,266.1599512,116,54,52,49,50,48,2,1,5,8,82,1,2,548.796445738
-74.1218340103885,4.71088944075525,245.7692308,259.6153846,256.1538462,257.4054759,66,55,52,49,49,51,2,1,5,10,73,1,3,268.783871617
-74.1086103898931,4.74221778489294,249.955711,245.7885999,245.0760018,252.4712644,167,52,48,47,48,50,2,1,5,11,71,1,3,306.418065453
-74.0797593596098,4.63476183513277,335.3846154,329.2307692,322.3076923,308.8461538,45,66,65,63,62,70,1,1,5,13,104,6,1,8.53808462411
-74.1969467596512,4.60516774585534,244.4548633,247.2705673,242.753789,249.2307692,269,52,48,47,48,47,2,1,5,7,85,1,4,309.569740428
-74.1013471901224,4.6223687277536,277.3740053,276.7209909,277.9320215,279.1519926,215,59,55,54,54,56,2,1,5,16,108,1,2,12.2408326165
-74.0665525897124,4.68479894029797,282.9401709,254.8752599,255.7692308,264.536608,111,54,51,50,49,52,2,1,5,12,21,1,2,169.658573145
-74.0657432399807,4.65311533682905,266.9230769,250.7692308,255.7692308,264.6153846,107,54,52,48,50,53,2,1,5,12,98,1,2,198.262433299
-74.1013125897126,4.67900610609065,270.4738016,263.5015385,255.3944145,261.7521368,157,55,50,50,50,52,2,1,5,10,31,1,2,211.322992578
-74.1313178203887,4.57861357731774,256.4019314,265.0535783,252.8205128,261.6666667,228,54,51,49,49,51,2,1,5,6,42,1,3,219.024920058
-74.0678435199796,4.6146441357446,258.4615385,250.7692308,239.6153846,261.5384615,81,52,47,46,47,47,2,1,5,3,91,1,3,40.214988777
-74.0915880896068,4.67737455622498,266.9230769,262.6923077,263.8461538,261.5384615,132,56,53,51,51,53,2,1,5,10,26,1,2,234.204297324
-74.1874322703874,4.59962549190067,258.8930187,255.2733224,250.475927,251.6215385,278,53,51,47,50,51,2,1,5,7,85,1,3,309.569740428
-74.1435775198382,4.59203226067759,257.0183321,254.3696138,259.4387755,260.9022738,196,55,52,50,51,52,2,1,5,6,42,1,3,219.024920058
-74.0664227499162,4.64445350835612,261.9230769,256.1538462,262.3076923,262.6923077,91,55,53,51,51,52,2,1,5,13,100,1,2,144.564855749
-74.0954012295787,4.6688970511245,278.8461538,274.6153846,278.4615385,279.2307692,262,58,57,52,55,58,2,1,5,10,26,1,2,234.204297324
-74.1207904599809,4.57931796543935,256.9230769,271.5384615,255.3846154,260.7692308,135,54,52,49,49,52,2,1,5,18,39,1,3,226.849943649
-74.1379697202018,4.58547365708989,273.2374582,263.3047835,263.6040609,279.6316033,197,56,54,51,51,52,2,1,5,6,42,1,2,219.024920058
-74.1123891100166,4.62990760726825,263.5470085,266.1538462,264.2307692,273.8461538,106,56,53,51,51,54,2,1,5,16,111,1,3,41.122473517
-74.1010924099415,4.58714169677687,260.3214696,255.2157598,254.159919,255.7692308,114,54,51,49,49,51,2,1,5,15,38,1,3,217.137387873
-74.1049280095922,4.7082986953351,273.3198381,258.2179487,254.6153846,258.5096154,63,55,51,48,49,51,2,1,5,10,29,1,3,395.72206025
-74.0769091902662,4.67337731443916,260.3846154,259.6153846,256.5384615,256.9230769,26,53,52,50,50,52,2,1,5,12,22,1,3,293.179189433
-74.1303122803957,4.59935495436666,266.1538462,261.9230769,263.0769231,270.3846154,149,56,53,50,51,54,2,1,5,16,41,1,2,225.660695821
-74.1482280702164,4.62337396025948,248.1034483,242.2099087,238.5056747,240.6637717,122,51,48,46,47,46,2,1,5,8,47,1,3,285.522465006
-74.0985476201839,4.71273637261831,253.0769231,267.3076923,266.5384615,273.8461538,54,57,53,51,52,54,2,1,5,10,29,1,2,395.72206025
-74.1038365601153,4.58080600715335,268.428382,267.691071,266.7785971,264.4411058,386,57,53,52,51,55,2,1,1,18,36,1,2,235.877289564
-74.0969757597778,4.58520388068526,288.8461538,283.0769231,285,291.1538462,162,60,58,55,55,57,2,1,5,15,38,1,2,217.137387873
-74.093941370224,4.57116406583339,256.9230769,249.2307692,256.5384615,242.6923077,59,56,51,49,49,52,2,1,5,4,34,1,3,351.773155874
-74.1289223998016,4.58002017782715,270,259.6153846,263.8461538,273.0769231,81,56,56,49,50,53,2,1,5,6,42,1,3,219.024920058
-74.0842339003793,4.54631466533146,257.0512821,259.5072115,252.1520147,255.5978261,84,53,50,49,50,51,2,1,5,4,50,1,3,265.121012922
-74.155708170009,4.61808326835622,263.7772134,263.4688645,263.1422351,259.5567766,106,55,53,50,51,54,2,1,5,8,47,1,3,285.522465006
-74.1535123200437,4.62152393959369,249.6068376,254.6153846,253.8461538,258.8461538,163,54,51,49,49,51,2,1,5,8,47,1,4,285.522465006
-74.0905352901449,4.70564752090804,275.7692308,275.7692308,270.3846154,279.6153846,91,58,54,51,52,58,2,1,5,10,29,1,2,395.72206025
-74.101996430426,4.69928223699229,306.4937388,290.8615385,296.270903,300,69,63,60,58,57,60,2,1,5,10,30,1,1,268.675374031
