X,Y,ORDEN_DE_S,EMAIL,WEB,Fecha,COLEGIO_SE,P_Puntaje_,EVALUADOS,COD_DANE12,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Sector,CALENDARIO,GENERO,COD_LOCA,NATU_JUR,CLASE_TIPO,Ciencias_N,Ciencias_1,Ciencias_2,Ciencias_3,Ingles_A,Ingles_A1,Ingles_A2,Ingles_B1,Ingles_B,Lectura_1,Lectura_2,Lectura_3,Lectura_4,Matematica,Matemati_1,Matemati_2,Matemati_3,SocialC_1,SocialC_2,SocialC_3,SocialC_4,PCiencias_,PCiencias1,PCiencia_1,PCiencia_2,PIngles_A1,PIngles_A2,PIngles_B1,PIngles_A,PIngles_B,PLectura_1,PLectura_2,PLectura_3,PLectura_4,PMatematic,PMatemat_1,PMatemat_2,PMatemat_3,PSocialC_1,PSocialC_2,PSocialC_3,PSocialC_4,Categoria
-8242002.8501,531131.023800001,A,insdiaquileoparrav1@educacionbogota.edu.co,,2021/12/31,COLEGIO AQUILEO PARRA (IED),263.37606840000,108,111001000132.00000000000,55,53,51,51,53,2,1,5,01,9,1,9,81,25,0,32,46,29,7,1,2,31,69,14,5,45,60,6,14,66,35,1,0.07826087000,0.70434782600,0.21739130400,0.00000000000,0.40000000000,0.25217391300,0.06086956500,0.27826087000,0.00869565200,0.01739130400,0.26956521700,0.60000000000,0.12173913000,0.04347826100,0.39130434800,0.52173913000,0.05217391300,0.12173913000,0.57391304300,0.30434782600,0.00869565200,2
-8240325.3878,527100.816799998,A,coldiagustinfernan1@educacionbogota.edu.co,http://rectoriagustinfernandez.blogspot.com/,2021/12/31,COLEGIO AGUSTIN FERNANDEZ (IED),239.61538460000,91,111001029955.00000000000,52,49,45,46,46,2,1,5,01,9,1,26,55,14,0,49,31,15,1,0,5,36,49,5,7,49,40,1,32,53,12,0,0.27083333300,0.57291666700,0.14583333300,0.00000000000,0.32291666700,0.15625000000,0.01041666700,0.51041666700,0.00000000000,0.05208333300,0.37500000000,0.51041666700,0.05208333300,0.07291666700,0.51041666700,0.41666666700,0.01041666700,0.33333333300,0.55208333300,0.12500000000,0.00000000000,3
-8240226.3124,529285.699200001,A,cedfriedrichnauma1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied,2021/12/31,COLEGIO FRIEDRICH NAUMANN (IED),253.84615380000,48,111001044806.00000000000,55,51,48,49,51,2,1,5,01,9,1,11,28,12,1,20,21,7,5,0,2,15,30,4,2,20,30,0,10,28,14,0,0.21153846200,0.53846153800,0.23076923100,0.01923076900,0.40384615400,0.13461538500,0.09615384600,0.38461538500,0.00000000000,0.03846153800,0.28846153800,0.57692307700,0.07692307700,0.03846153800,0.38461538500,0.57692307700,0.00000000000,0.19230769200,0.53846153800,0.26923076900,0.00000000000,3
-8242038.0749,528862.096700002,A,cedtoberin1@educacionbogota.edu.co,,2021/12/31,COLEGIO TOBERIN (IED),259.23076920000,149,111001046957.00000000000,55,51,50,51,53,2,1,5,01,9,1,22,80,52,0,52,55,26,18,2,5,48,80,22,12,55,83,3,37,65,49,2,0.14285714300,0.51948051900,0.33766233800,0.00000000000,0.35714285700,0.16883116900,0.11688311700,0.33766233800,0.01298701300,0.03246753200,0.31168831200,0.51948051900,0.14285714300,0.07792207800,0.35714285700,0.53896103900,0.01948051900,0.24025974000,0.42207792200,0.31818181800,0.01298701300,3
-8240516.5957,531256.945,A,cednvohorizonte1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied,2021/12/31,COLEGIO NUEVO HORIZONTE (IED),246.86002520000,122,111001086681.00000000000,53,49,48,48,51,2,1,5,01,9,1,21,86,21,0,50,52,19,6,3,3,44,74,8,6,68,53,1,28,67,31,3,0.16279069800,0.66666666700,0.16279069800,0.00000000000,0.40310077500,0.14728682200,0.04651162800,0.38759689900,0.02325581400,0.02325581400,0.34108527100,0.57364341100,0.06201550400,0.04651162800,0.52713178300,0.41085271300,0.00775193800,0.21705426400,0.51937984500,0.24031007800,0.02325581400,3
-8240320.04,530979.7914,A,rectorbosco3@fundaciondonbosco.org  --  bosco3@fundaciondonbosco.org,,2021/12/31,COLEGIO LA ESTRELLITA (IED),247.69230770000,73,111001098612.00000000000,52,50,47,49,50,2,1,5,01,9,2,7,48,18,0,32,25,15,1,0,2,32,34,5,4,32,36,1,21,37,15,0,0.09589041100,0.65753424700,0.24657534200,0.00000000000,0.34246575300,0.20547945200,0.01369863000,0.43835616400,0.00000000000,0.02739726000,0.43835616400,0.46575342500,0.06849315100,0.05479452100,0.43835616400,0.49315068500,0.01369863000,0.28767123300,0.50684931500,0.20547945200,0.00000000000,3
-8240699.9857,530418.834100001,A,enalpilotodeaplica1@educacionbogota.edu.co,www.unioncolombia.com  --  www.colegiounioncolombia.com,2021/12/31,COLEGIO UNION COLOMBIA (IED),253.46153850000,70,111001102059.00000000000,54,50,49,49,53,2,1,5,01,9,1,12,46,12,0,18,29,16,7,0,3,15,48,4,7,24,39,0,14,39,16,1,0.17142857100,0.65714285700,0.17142857100,0.00000000000,0.41428571400,0.22857142900,0.10000000000,0.25714285700,0.00000000000,0.04285714300,0.21428571400,0.68571428600,0.05714285700,0.10000000000,0.34285714300,0.55714285700,0.00000000000,0.20000000000,0.55714285700,0.22857142900,0.01428571400,3
-8242141.6354,530273.5869,A,colsaludcoopnorte@educacionbogota.edu.co,,2021/12/31,COLEGIO SALUDCOOP NORTE (IED),265.80608010000,167,111001107743.00000000000,56,52,53,51,55,2,1,5,01,9,1,26,93,52,2,36,71,38,28,0,2,43,100,28,12,64,93,5,24,73,71,3,0.15028901700,0.53757225400,0.30057803500,0.01156069400,0.41040462400,0.21965317900,0.16184971100,0.20809248600,0.00000000000,0.01156069400,0.24855491300,0.57803468200,0.16184971100,0.06936416200,0.36994219700,0.53757225400,0.02890173400,0.13872832400,0.42196531800,0.41040462400,0.01734104000,3
-8242465.918,521869.280400001,A,cbpsr100@liceosejercito.edu.co,www.liceosejercito.edu.co,2021/12/31,COLEGIO DE BACHILLERATO PATRIA,326.15384620000,128,111848000911.00000000000,66,66,64,63,71,1,1,5,01,14,6,1,21,84,25,0,6,39,62,21,0,3,57,71,0,4,90,35,0,18,85,26,0.00775193800,0.16279069800,0.65116279100,0.19379845000,0.04651162800,0.30232558100,0.48062015500,0.00000000000,0.16279069800,0.00000000000,0.02325581400,0.44186046500,0.55038759700,0.00000000000,0.03100775200,0.69767441900,0.27131782900,0.00000000000,0.13953488400,0.65891472900,0.20155038800,1
-8241514.3212,524255.604499999,A,ipn@pedagogica.edu.co,www.pedagogica.edu.co  --  www.ipn.pedagogica.edu.co,2021/12/31,INSTITUTO PEDAGOGICO NACIONAL,307.30769230000,124,111848002522.00000000000,63,62,60,59,67,1,1,5,01,14,6,1,35,78,10,4,21,38,45,16,0,12,68,43,0,17,89,19,7,26,72,19,0.00806451600,0.28225806500,0.62903225800,0.08064516100,0.16935483900,0.30645161300,0.36290322600,0.03225806500,0.12903225800,0.00000000000,0.09677419400,0.54838709700,0.34677419400,0.00000000000,0.13709677400,0.71774193500,0.15322580600,0.05645161300,0.20967741900,0.58064516100,0.15322580600,1
-8241497.847,524594.517200001,A,colescoloniaescola1@educacionbogota.edu.co,,2021/12/31,COLEGIO USAQUEN (IED),257.01112140000,166,111848002662.00000000000,55,51,49,50,53,2,1,5,01,9,1,29,104,37,2,61,46,46,14,3,3,46,100,22,9,71,88,2,41,78,51,0,0.17058823500,0.61176470600,0.21764705900,0.01176470600,0.27058823500,0.27058823500,0.08235294100,0.35882352900,0.01764705900,0.01764705900,0.27058823500,0.58823529400,0.12941176500,0.05294117600,0.41764705900,0.51764705900,0.01176470600,0.24117647100,0.45882352900,0.30000000000,0.00000000000,2
