X,Y,P_Puntaje_,EVALUADOS,P_Lectura,P_Matemati,P_Sociales,P_Ciencias,P_Ingles,Sector,CALENDARIO,GENERO,COD_LOCA,CLASE_TIPO,Categoria
-74.03917132001487,4.765726349353047,263.3760684,108,55,53,51,51,53,2,1,5,1,1,2
-74.02410241978863,4.729646605898667,239.6153846,91,52,49,45,46,46,2,1,5,1,1,3
-74.02321241032763,4.749206628602054,253.8461538,48,55,51,48,49,51,2,1,5,1,1,3
-74.03948774977707,4.745414397059448,259.2307692,149,55,51,50,51,53,2,1,5,1,1,3
-74.02582006957877,4.766853607062875,246.8600252,122,53,49,48,48,51,2,1,5,1,1,3
-74.02405437968386,4.764372501100302,247.6923077,73,52,50,47,49,50,2,1,5,1,2,3
-74.0274674899783,4.759350729434386,253.4615385,70,54,50,49,49,53,2,1,5,1,1,3
-74.04041804957689,4.758050449315391,265.8060801,167,56,52,53,51,55,2,1,5,1,1,3
-74.04333112973642,4.682809363324826,326.1538462,128,66,66,64,63,71,1,1,5,1,6,1
-74.03478279023882,4.704174193322755,307.3076923,124,63,62,60,59,67,1,1,5,1,6,1
-74.03463479998229,4.707208435620502,257.0111214,166,55,51,49,50,53,2,1,5,1,1,2
-74.02773724956656,4.739958084129307,247.6923077,91,53,50,49,47,47,2,1,5,1,1,3
-74.02583444980984,4.741641591103108,250.3846154,100,54,50,48,48,51,2,1,5,1,1,3
-74.02793206989718,4.73464935036583,241.9230769,46,53,47,47,46,50,2,1,5,1,1,3
-74.04085095040725,4.73216005066461,312.3076923,62,64,62,62,60,68,1,1,5,1,4,1
-74.02936787955514,4.7463344698461984,317.3076923,21,65,60,65,59,78,1,1,1,1,4,1
-74.04120595023448,4.7502821404451705,312.3076923,41,65,61,61,60,71,1,1,1,1,4,1
-74.04290879039885,4.754576777381824,346.5384615,97,69,72,67,66,79,1,1,5,1,4,1
-74.02794215977444,4.7410918556979444,273.4615385,45,58,53,53,53,60,1,1,5,1,4,2
-74.01830602963805,4.675412032807984,270.7692308,43,57,52,52,52,65,1,1,5,1,4,2
-74.03592294008227,4.705989621754413,353.0769231,40,69,73,70,67,81,1,3,5,1,4,1
-74.02879027989543,4.766806270247202,268.0769231,35,56,53,52,53,55,1,1,5,1,4,3
-74.02816330972603,4.762866258038878,303.0769231,15,63,65,56,58,62,1,3,5,1,4,1
-74.02287729021762,4.748323385918271,275,77,59,54,53,53,58,1,1,5,1,4,2
-74.04725875999132,4.7416383879312995,299.6153846,69,62,60,58,58,65,1,1,5,1,4,1
-74.02477432009529,4.743709488766659,276.5384615,115,59,56,53,53,56,1,1,5,1,4,2
-74.02606451015073,4.728488078701146,280.7692308,25,59,56,54,54,61,1,1,5,1,4,2
-74.04739753982125,4.719919848210281,254.2307692,3,54,48,46,50,67,1,1,5,1,4,3
-74.0299769804369,4.7622478068172995,276.9230769,33,59,53,54,52,66,1,1,5,1,4,2
-74.02970216962181,4.762931142200268,328.8461538,25,68,64,64,63,78,1,1,5,1,4,1
-74.02790712008847,4.694216801278736,353.8461538,17,71,74,69,67,77,1,3,5,1,4,1
-74.05127461019701,4.709647106218214,310,30,63,64,58,60,71,1,2,5,1,4,2
-74.04468087989184,4.690589943059668,304.6153846,19,61,61,59,57,78,1,2,5,1,4,1
-74.01967786038317,4.674148550158918,276.5384615,32,60,54,52,52,65,1,5,5,1,4,2
-74.0432384002429,4.734282899409348,263.0769231,9,56,51,49,50,66,1,5,5,1,4,4
-74.0373041402558,4.76199315774797,234.6153846,31,51,47,45,45,46,1,2,5,1,4,4
-74.04050406955353,4.718152621753907,295.7692308,10,63,58,58,55,67,1,1,5,1,4,2
-74.03342168986978,4.765906631108882,338.4615385,64,68,70,66,66,70,1,1,5,1,4,1
-74.02679965993822,4.693760386006819,356.1538462,45,70,75,68,68,83,1,3,3,1,4,1
-74.04955411005247,4.713208041727275,302.3076923,61,63,59,59,58,69,1,1,5,1,4,1
-74.02826318980921,4.750038138397366,374.2307692,175,72,78,73,73,85,1,1,5,1,4,1
-74.02601290014103,4.741819298182411,342.6923077,59,67,69,67,66,84,1,3,3,1,4,1
-74.03003240020173,4.760565452176232,260.7692308,28,55,53,49,50,57,1,1,5,1,4,2
-74.02732321964537,4.739470565032563,277.3076923,75,58,57,52,54,58,1,1,5,1,4,2
-74.02603524034383,4.722771350957723,312.6923077,56,64,62,60,60,75,1,1,1,1,4,1
-74.02239050035168,4.7035839530544905,278.0769231,47,59,56,53,54,57,1,1,5,1,4,2
